user_id,ab_group,source,visit,product_view,add_to_cart,checkout,purchase,revenue
1,variant,organic,1,1,0,0,0,0.0
2,control,paid_social,1,0,0,0,0,0.0
3,control,search,1,1,0,0,0,0.0
4,variant,organic,1,0,0,0,0,0.0
5,control,email,1,1,0,0,0,0.0
6,control,paid_social,1,1,0,0,0,0.0
7,control,paid_social,1,0,0,0,0,0.0
8,control,search,1,1,1,1,0,0.0
9,control,search,1,0,0,0,0,0.0
10,control,organic,1,1,1,0,0,0.0
11,variant,email,1,0,0,0,0,0.0
12,variant,paid_social,1,1,0,0,0,0.0
13,control,organic,1,1,1,1,1,81.71
14,control,email,1,1,1,1,1,49.6
15,variant,email,1,1,0,0,0,0.0
16,control,search,1,0,0,0,0,0.0
17,variant,email,1,1,1,0,0,0.0
18,control,search,1,0,0,0,0,0.0
19,variant,email,1,1,0,0,0,0.0
20,variant,organic,1,1,0,0,0,0.0
21,control,search,1,1,1,1,0,0.0
22,control,search,1,1,1,0,0,0.0
23,control,organic,1,1,0,0,0,0.0
24,control,paid_social,1,1,0,0,0,0.0
25,variant,paid_social,1,0,0,0,0,0.0
26,control,search,1,1,0,0,0,0.0
27,variant,organic,1,1,0,0,0,0.0
28,control,search,1,1,0,0,0,0.0
29,variant,organic,1,0,0,0,0,0.0
30,control,paid_social,1,1,1,1,1,113.93
31,control,email,1,0,0,0,0,0.0
32,variant,paid_social,1,1,0,0,0,0.0
33,control,paid_social,1,1,0,0,0,0.0
34,control,organic,1,1,0,0,0,0.0
35,control,search,1,1,0,0,0,0.0
36,control,email,1,0,0,0,0,0.0
37,control,email,1,1,0,0,0,0.0
38,variant,search,1,1,0,0,0,0.0
39,control,organic,1,1,0,0,0,0.0
40,variant,organic,1,1,0,0,0,0.0
41,control,organic,1,0,0,0,0,0.0
42,control,paid_social,1,0,0,0,0,0.0
43,variant,organic,1,1,0,0,0,0.0
44,variant,organic,1,1,0,0,0,0.0
45,variant,search,1,0,0,0,0,0.0
46,variant,organic,1,1,0,0,0,0.0
47,variant,search,1,0,0,0,0,0.0
48,control,email,1,1,0,0,0,0.0
49,variant,search,1,1,1,1,1,74.45
50,variant,search,1,0,0,0,0,0.0
51,control,search,1,1,0,0,0,0.0
52,control,organic,1,0,0,0,0,0.0
53,variant,organic,1,1,0,0,0,0.0
54,variant,organic,1,0,0,0,0,0.0
55,variant,organic,1,1,1,1,1,174.27
56,control,search,1,1,1,0,0,0.0
57,variant,email,1,0,0,0,0,0.0
58,control,email,1,0,0,0,0,0.0
59,control,organic,1,0,0,0,0,0.0
60,control,email,1,0,0,0,0,0.0
61,control,organic,1,0,0,0,0,0.0
62,variant,search,1,0,0,0,0,0.0
63,control,organic,1,0,0,0,0,0.0
64,control,organic,1,1,0,0,0,0.0
65,variant,paid_social,1,0,0,0,0,0.0
66,control,email,1,1,1,0,0,0.0
67,variant,organic,1,0,0,0,0,0.0
68,control,organic,1,1,1,0,0,0.0
69,variant,email,1,1,0,0,0,0.0
70,control,email,1,1,0,0,0,0.0
71,control,organic,1,0,0,0,0,0.0
72,variant,search,1,1,0,0,0,0.0
73,control,organic,1,1,1,1,1,102.29
74,control,paid_social,1,0,0,0,0,0.0
75,variant,paid_social,1,1,1,1,1,223.11
76,control,paid_social,1,1,0,0,0,0.0
77,control,paid_social,1,1,0,0,0,0.0
78,variant,paid_social,1,0,0,0,0,0.0
79,variant,paid_social,1,1,0,0,0,0.0
80,variant,search,1,0,0,0,0,0.0
81,variant,search,1,1,0,0,0,0.0
82,variant,paid_social,1,1,1,1,0,0.0
83,control,organic,1,1,0,0,0,0.0
84,variant,search,1,0,0,0,0,0.0
85,control,search,1,1,0,0,0,0.0
86,variant,search,1,1,1,0,0,0.0
87,control,paid_social,1,0,0,0,0,0.0
88,control,organic,1,1,0,0,0,0.0
89,variant,search,1,1,1,0,0,0.0
90,control,organic,1,0,0,0,0,0.0
91,control,email,1,0,0,0,0,0.0
92,variant,search,1,0,0,0,0,0.0
93,variant,organic,1,0,0,0,0,0.0
94,variant,paid_social,1,1,0,0,0,0.0
95,variant,search,1,0,0,0,0,0.0
96,control,organic,1,1,0,0,0,0.0
97,control,paid_social,1,1,0,0,0,0.0
98,control,search,1,1,0,0,0,0.0
99,control,search,1,0,0,0,0,0.0
100,control,organic,1,0,0,0,0,0.0
101,control,paid_social,1,1,1,1,0,0.0
102,variant,email,1,1,0,0,0,0.0
103,control,email,1,1,1,0,0,0.0
104,control,search,1,0,0,0,0,0.0
105,control,email,1,1,1,1,1,234.37
106,variant,paid_social,1,1,0,0,0,0.0
107,variant,paid_social,1,0,0,0,0,0.0
108,variant,paid_social,1,0,0,0,0,0.0
109,variant,organic,1,0,0,0,0,0.0
110,control,paid_social,1,0,0,0,0,0.0
111,control,paid_social,1,0,0,0,0,0.0
112,control,search,1,0,0,0,0,0.0
113,variant,search,1,1,0,0,0,0.0
114,control,search,1,1,0,0,0,0.0
115,control,organic,1,0,0,0,0,0.0
116,control,organic,1,1,0,0,0,0.0
117,variant,organic,1,0,0,0,0,0.0
118,variant,search,1,1,1,1,1,187.56
119,variant,organic,1,1,0,0,0,0.0
120,control,paid_social,1,1,1,0,0,0.0
121,control,paid_social,1,1,1,1,0,0.0
122,control,search,1,1,0,0,0,0.0
123,control,email,1,1,0,0,0,0.0
124,variant,search,1,0,0,0,0,0.0
125,control,organic,1,0,0,0,0,0.0
126,variant,paid_social,1,1,0,0,0,0.0
127,control,organic,1,1,0,0,0,0.0
128,variant,organic,1,1,0,0,0,0.0
129,control,organic,1,1,1,1,1,86.9
130,control,organic,1,1,0,0,0,0.0
131,variant,organic,1,1,0,0,0,0.0
132,variant,organic,1,1,1,1,1,203.03
133,control,organic,1,0,0,0,0,0.0
134,control,search,1,1,0,0,0,0.0
135,control,email,1,1,1,1,0,0.0
136,variant,email,1,1,0,0,0,0.0
137,control,organic,1,0,0,0,0,0.0
138,variant,paid_social,1,0,0,0,0,0.0
139,control,email,1,0,0,0,0,0.0
140,control,organic,1,0,0,0,0,0.0
141,control,search,1,1,1,1,1,225.79
142,control,paid_social,1,1,0,0,0,0.0
143,variant,email,1,0,0,0,0,0.0
144,variant,email,1,0,0,0,0,0.0
145,control,search,1,1,0,0,0,0.0
146,control,search,1,1,0,0,0,0.0
147,control,organic,1,0,0,0,0,0.0
